latitude,longitude,frp
-12.78827,143.29048,8.5
-12.8605,142.75728,7.2
-12.78784,143.29305,15.3
-12.78724,143.29846,17
-12.77597,143.34096,10.9
-12.66324,142.59819,7.6
-12.66059,142.60165,3.7
-12.65386,142.60089,3.7
-12.52306,142.52328,6.1
-12.52749,141.9518,8.8
-12.52051,141.95103,8.8
-12.52118,141.94444,9.8
-12.52299,141.94955,12.5
-12.35643,142.06694,16.6
-12.35712,142.06044,7.6
-12.34053,142.08479,5.7
-12.33363,142.0838,9.1
-12.3274,142.07655,9.1
-12.31629,142.04875,14.8
-12.33503,142.08195,9.2
-12.32884,142.07471,12.8
-12.31648,142.05989,13.5
-12.311,142.04611,12.7
-12.01081,142.4971,4.8
-12.00206,142.51466,6.6
-10.15417,142.28387,5.9
-10.1475,142.28314,5.9
-10.14828,142.2765,10
-10.14089,142.28189,34
-10.13456,142.1619,5.5
-11.10789,142.54015,41.9
-11.10726,142.54581,41.9
-11.10853,142.53435,26.2
-11.10962,142.54407,57.8
-11.11027,142.5385,59.3
-11.09818,142.58423,6.2
-11.08823,142.61194,5
-10.95832,142.36163,5.2
-10.77249,142.44196,18.8
-10.77178,142.44803,26.4
-10.7732,142.43588,18.8
-10.72034,142.18405,4.5
-10.71354,142.18369,3
-10.71774,142.18175,7.3
-10.16232,142.27217,8.7
-37.9147,143.34229,3.3
-33.1086,150.2388,4.1
-35.02628,141.4166,9.6
-35.02747,141.41064,9.6
-35.03402,141.27538,4.4
-35.02901,141.28003,8
-35.02633,141.27307,8
-34.73161,141.56709,8
-34.73285,141.56099,8
-34.73409,141.55489,3.5
-34.73533,141.5488,3.5
-34.73017,141.55376,10.7
-34.73141,141.54767,10.7
-34.72874,141.54041,7.6
-34.72998,141.53432,7.6
-34.72586,141.51389,4.1
-32.97335,146.44153,4.5
-31.60239,150.14806,11
-31.60666,150.14792,10.2
-32.54503,145.96819,3.6
-34.04348,135.66934,2.2
-30.82255,148.94797,6.3
-30.82222,148.94754,6.4
-33.01075,137.59172,1.8
-33.00541,137.58118,4.7
-33.75422,122.0283,10.7
-33.74797,122.02793,24.2
-33.75055,122.02626,25
-29.33847,148.05484,15.6
-29.34,148.04916,14.7
-29.33227,148.05276,15.6
-29.3338,148.04709,14.7
-29.3371,148.05151,10.5
-29.33859,148.04582,10.5
-29.3309,148.04941,10.5
-29.3324,148.04372,10.5
-27.50868,149.09535,13.6
-27.51066,149.08824,13.6
-27.51048,149.09378,26.2
-27.21168,149.78844,8.4
-27.21037,149.78931,9.5
-26.80385,147.42555,7.9
-26.7945,147.43503,33.2
-26.79299,147.44083,19.9
-27.03293,126.41039,26.3
-27.03342,126.40545,26.3
-27.02893,126.40485,33.6
-27.03188,126.37508,71.1
-27.03139,126.3801,71.1
-27.02395,126.40922,33.6
-27.02444,126.40429,33.6
-27.02689,126.37949,71.1
-27.02739,126.3745,71.1
-27.0224,126.37888,31.1
-27.01945,126.40866,2.4
-27.02289,126.37392,31.1
-27.00962,126.46213,8.1
-27.0179,126.3783,31.1
-27.01485,126.36297,4
-27.01034,126.3624,4
-27.0208,126.42596,3.8
-27.02237,126.41112,9.2
-27.02289,126.40619,9.2
-27.02552,126.38146,31.2
-27.02657,126.37149,22
-27.02604,126.37646,31.2
-27.01269,126.45959,7.7
-27.02102,126.38086,31.2
-27.02155,126.37589,31.2
-27.01705,126.37536,9.3
-27.01357,126.36499,5.3
-27.01409,126.36003,4.1
-26.17023,125.47485,2.7
-26.16552,125.47427,16.2
-26.14407,125.49945,13.4
-26.16411,125.47175,14.9
-26.14718,125.4975,10.4
-26.14248,125.49691,8.4
-25.21889,131.08754,4
-25.21488,131.09106,6.2
-25.21144,131.0905,6.5
-25.20913,131.08173,8.3
-25.20856,131.08583,8.3
-25.20569,131.08115,5.5
-25.20625,131.07704,6.3
-25.20168,131.08466,5.5
-25.20224,131.08058,5.5
-20.73369,139.47777,8
-17.17375,142.71791,10.3
-17.2053,142.57121,7.7
-17.20627,142.5667,7.7
-17.16777,142.71655,10.3
-17.19937,142.56989,7.7
-17.16877,142.71193,10.3
-17.19344,142.56854,9.6
-17.16178,142.71521,3.8
-17.14165,142.77907,6.8
-17.14267,142.7744,6.8
-17.13564,142.77769,5.3
-17.12861,142.78105,3.6
-17.04523,142.75363,3.6
-17.03718,142.76167,3.6
-17.03819,142.75699,3.6
-17.03921,142.7523,3.6
-17.02912,142.76973,7
-17.03014,142.76503,4.9
-17.03115,142.76035,4.9
-17.02207,142.77307,7
-17.0231,142.76837,7
-17.01605,142.77173,3.1
-17.00797,142.77979,11.4
-17.00193,142.77846,8.8
-16.99487,142.78181,7.1
